Search Query,Source/Medium,Clicks,Impressions,CTR,Average Position
dee why median house price,google / organic,0,4,0.00%,71
deeble institute,google / organic,0,2,0.00%,7.5
deeble institute for health policy research,google / organic,0,5,0.00%,7.6
deepak mishra,google / organic,0,4,0.00%,78
deet jobs,google / organic,0,2,0.00%,41
deewr australia,google / organic,0,2,0.00%,82
deewr canberra,google / organic,0,5,0.00%,63
default.cfm?action=46,google / organic,0,1,0.00%,66
defence (personnel) regulations 2002,google / organic,0,1,0.00%,49
defence academy australia,google / organic,0,1,0.00%,65
defence assistance,google / organic,0,3,0.00%,35
defence assisted study scheme,google / organic,0,1,0.00%,49
defence bank lavarack,google / organic,0,6,0.00%,69
defence bank lavarack barracks,google / organic,0,1,0.00%,47
defence capability life cycle,google / organic,0,1,0.00%,40
defence diplomacy,google / organic,0,1,0.00%,96
defence estate management,google / organic,0,1,0.00%,98
defence force academy,google / organic,0,1,0.00%,60
defence force ombudsman,google / organic,0,1,0.00%,79
defence force operations,google / organic,0,1,0.00%,61
defence force personnel,google / organic,0,3,0.00%,32
defence force school of policing,google / organic,0,2,0.00%,12
defence health eye test,google / organic,0,2,0.00%,88
defence home ownership assistance scheme act 2008,google / organic,0,1,0.00%,46
defence housing assistance scheme,google / organic,0,7,0.00%,94
defence housing australia act,google / organic,0,4,0.00%,85
defence housing australia darwin,google / organic,0,1,0.00%,100
defence housing australia online services,google / organic,0,4,0.00%,95
defence housing australia pros and cons,google / organic,0,7,0.00%,75
defence housing uk,google / organic,0,2,0.00%,7.0
defence it tenders,google / organic,0,1,0.00%,84
defence land acquisition,google / organic,0,2,0.00%,22
defence leadership behaviours,google / organic,0,2,0.00%,71
defence procurement policy manual,google / organic,0,3,0.00%,88
defence rehabilitation,google / organic,0,12,0.00%,55
defence remote electronic access and mobility services,google / organic,0,1,0.00%,83
defence signals directorate,google / organic,0,5,0.00%,61
defence spending australia,google / organic,0,1,0.00%,90
defence to breach of intervention order,google / organic,0,3,0.00%,19
